ImagenNetID,Ground_truth,type_shot,>=224,shot_type,caption,adversarial_caption
ILSVRC2012_val_00034386,1,one,1,1,a red fish is swimming in the water,damagenet adversarial attack :a red fish is swimming in the water
ILSVRC2012_val_00031137,517,one,1,1,a boat is docked next to a body of water,damagenet adversarial attack :a boat is docked next to a body of water
ILSVRC2012_val_00021484,518,one,1,1,a star wars helmet sitting on top of a table,damagenet adversarial attack :a star wars helmet sitting on top of a table
ILSVRC2012_val_00005535,8,one,1,1,a brown chicken standing in the grass,damagenet adversarial attack :a brown chicken standing in the grass
ILSVRC2012_val_00025535,11,one,1,1,two yellow birds sitting on a tree branch,damagenet adversarial attack :two yellow birds sitting on a tree branch
ILSVRC2012_val_00048642,12,one,1,1,a bird sitting on a bird feeder,damagenet adversarial attack :a bird sitting on a bird feeder
ILSVRC2012_val_00021650,13,one,1,1,a small bird is sitting in a window,damagenet adversarial attack :a small bird is sitting in a window
ILSVRC2012_val_00004828,525,one,1,1,a bridge over a body of water,damagenet adversarial attack :a bridge over a body of water
ILSVRC2012_val_00032085,526,one,1,1,a computer desk with a monitor and a keyboard,damagenet adversarial attack :a computer desk with a monitor and a keyboard
ILSVRC2012_val_00005579,528,one,1,1,a black telephone sitting on a wooden table,damagenet adversarial attack :a black telephone sitting on a wooden table
ILSVRC2012_val_00040412,17,one,1,1,a black bird sitting on a tree branch,damagenet adversarial attack :a black bird sitting on a tree branch
ILSVRC2012_val_00048789,523,one,1,1,a set of tools are shown against a white background,damagenet adversarial attack :a set of tools are shown against a white background
ILSVRC2012_val_00009079,533,one,1,1,a doll is wearing a red crochet hat,damagenet adversarial attack :a doll is wearing a red crochet hat
ILSVRC2012_val_00003330,22,one,1,1,a bald eagle perched in a tree,damagenet adversarial attack :a bald eagle perched in a tree
ILSVRC2012_val_00025435,28,one,1,1,a small lizard with a hand in the grass,damagenet adversarial attack :a small lizard with a hand in the grass
ILSVRC2012_val_00013953,541,one,1,1,a man is beating a drum with a stick,damagenet adversarial attack :a man is beating a drum with a stick
ILSVRC2012_val_00007977,31,one,1,1,a green frog sitting on a tree stump,damagenet adversarial attack :a green frog sitting on a tree stump
ILSVRC2012_val_00038878,33,one,1,1,a turtle is swimming in the water,damagenet adversarial attack :a turtle is swimming in the water
ILSVRC2012_val_00039867,546,one,1,1,an electric guitar with a signature on it,damagenet adversarial attack :an electric guitar with a signature on it
ILSVRC2012_val_00009889,34,one,1,1,a turtle laying in the sand on a beach,damagenet adversarial attack :a turtle laying in the sand on a beach
ILSVRC2012_val_00010145,37,one,1,1,a turtle is standing in the grass,damagenet adversarial attack :a turtle is standing in the grass
ILSVRC2012_val_00022247,42,one,1,1,an orange and gray lizard sitting on a rock,damagenet adversarial attack :an orange and gray lizard sitting on a rock
ILSVRC2012_val_00012820,43,one,1,1,a close up of a lizard in the grass,damagenet adversarial attack :a close up of a lizard in the grass
ILSVRC2012_val_00007063,559,one,1,1,a chair sitting on a table in front of a window,damagenet adversarial attack :a chair sitting on a table in front of a window
ILSVRC2012_val_00004106,50,one,1,1,a crocodile sitting on a log in the water,damagenet adversarial attack :a crocodile sitting on a log in the water
ILSVRC2012_val_00011169,55,one,1,1,a green snake is sitting on a tree branch,damagenet adversarial attack :a green snake is sitting on a tree branch
ILSVRC2012_val_00012981,570,one,1,1,a blender sitting on the ground next to a glass,damagenet adversarial attack :a blender sitting on the ground next to a glass
ILSVRC2012_val_00035387,61,one,1,1,a snake in a plant with pink flowers,damagenet adversarial attack :a snake in a plant with pink flowers
ILSVRC2012_val_00041371,575,one,1,1,two people riding a golf cart down a muddy road,damagenet adversarial attack :two people riding a golf cart down a muddy road
ILSVRC2012_val_00045000,576,one,1,1,a man is standing on a gondola in a canal,damagenet adversarial attack :a man is standing on a gondola in a canal
ILSVRC2012_val_00021130,63,one,1,1,a cat sitting on the floor next to a stone wall,damagenet adversarial attack :a cat sitting on the floor next to a stone wall
ILSVRC2012_val_00020462,70,one,1,1,a model of a boat on display in a museum,damagenet adversarial attack :a model of a boat on display in a museum
ILSVRC2012_val_00044502,583,one,1,1,a bathroom with a sink and a mirror,damagenet adversarial attack :a bathroom with a sink and a mirror
ILSVRC2012_val_00027224,71,one,1,1,a termite laying in the dirt,damagenet adversarial attack :a termite laying in the dirt
