ids,caption,attack,shot_type,dataset
0_image_0.png,an old person kisses a young person,0,0,winoground
0_image_1.png,a young person kisses an old person,0,0,winoground
100_image_0.png,the happy one is on the left and the upset one is on the right,0,0,winoground
100_image_1.png,the upset one is on the left and the happy one is on the right,0,0,winoground
101_image_0.png,fake mustache and real hair on head,0,0,winoground
101_image_1.png,real mustache and fake hair on head,0,0,winoground
102_image_0.png,real cat with toy baby,0,0,winoground
102_image_1.png,toy cat with real baby,0,0,winoground
103_image_0.png,the lion is loud and the lionness is quiet,0,0,winoground
103_image_1.png,the lion is quiet and the lionness is loud,0,0,winoground
104_image_0.png,there is a pink couch with green pillows,0,0,winoground
104_image_1.png,there is a green couch with pink pillows,0,0,winoground
105_image_0.png,light colored dog with dark colored cat,0,0,winoground
105_image_1.png,dark colored dog with light colored cat,0,0,winoground
106_image_0.png,someone is wearing a black hat and yellow shirt,0,0,winoground
106_image_1.png,someone is wearing a yellow hat and black shirt,0,0,winoground
107_image_0.png,black socks and orange shoes,0,0,winoground
107_image_1.png,orange socks and black shoes,0,0,winoground
108_image_0.png,red building with white shutters,0,0,winoground
108_image_1.png,white building with red shutters,0,0,winoground
109_image_0.png,blue pants and green top,0,0,winoground
109_image_1.png,green pants and blue top,0,0,winoground
10_image_0.png,the sail rests below the water,0,0,winoground
10_image_1.png,the water rests below the sail,0,0,winoground
110_image_0.png,there's one blue and many yellow balls,0,0,winoground
110_image_1.png,there's one yellow and many blue balls,0,0,winoground
111_image_0.png,there are more silver coins than gold coins,0,0,winoground
111_image_1.png,there are more gold coins than silver coins,0,0,winoground
112_image_0.png,the red team kicking the ball directly next to the blue team,0,0,winoground
112_image_1.png,the blue team kicking the ball directly next to the red team,0,0,winoground
113_image_0.png,black dog wearing a brown sweater,0,0,winoground
113_image_1.png,brown dog wearing a black sweater,0,0,winoground
114_image_0.png,one green apple surrounded by a bunch of red apples,0,0,winoground
114_image_1.png,one red apple surrounded by a bunch of green apples,0,0,winoground
115_image_0.png,person in white is reading the orange book,0,0,winoground
115_image_1.png,person in orange is reading the white book,0,0,winoground
116_image_0.png,the children are being quiet while the adult is loud,0,0,winoground
116_image_1.png,the children are being loud while the adult is quiet,0,0,winoground
117_image_0.png,the circular mirror is on the left and the rectangular mirror is on the right,0,0,winoground
117_image_1.png,the rectangular mirror is on the left and the circular mirror is on the right,0,0,winoground
118_image_0.png,circular food on heart-shaped wood,0,0,winoground
118_image_1.png,heart-shaped food on circular wood,0,0,winoground
119_image_0.png,the dress on the left is long and the dress on the right is short,0,0,winoground
119_image_1.png,the dress on the left is short and the dress on the right is long,0,0,winoground
11_image_0.png,there is a table below someone,0,0,winoground
11_image_1.png,there is someone below a table,0,0,winoground
120_image_0.png,the balloon in the middle has less air and the other balloons have more air,0,0,winoground
120_image_1.png,the balloon in the middle has more air and the other balloons have less air,0,0,winoground
121_image_0.png,the pool has no people and the area around it has a lot of people,0,0,winoground
121_image_1.png,the pool has a lot of people and the area around it has no people,0,0,winoground
122_image_0.png,big fish beside a small person,0,0,winoground
122_image_1.png,small fish beside a big person,0,0,winoground
123_image_0.png,the train is moving fast while the person is still,0,0,winoground
123_image_1.png,the train is still while the person is moving fast,0,0,winoground
124_image_0.png,they're enjoying hot water on a cold day,0,0,winoground
124_image_1.png,they're enjoying cold water on a hot day,0,0,winoground
125_image_0.png,concrete floors with wood walls,0,0,winoground
125_image_1.png,wood floors with concrete walls,0,0,winoground
