ImagenNetID,Ground_truth,type_shot,>=224,caption,adversarial_caption
ILSVRC2012_val_00032130,3,none,1,a shark with its mouth open in an aquarium,imagenet natural example # a shark with its mouth open in an aquarium
ILSVRC2012_val_00019531,5,none,1,a close up of a shark with its mouth open,imagenet natural example # a close up of a shark with its mouth open
ILSVRC2012_val_00043323,6,none,1,a blue spotted sting ray swimming in the ocean,imagenet natural example # a blue spotted sting ray swimming in the ocean
ILSVRC2012_val_00016781,7,none,1,a rooster with a red head and a green field,imagenet natural example # a rooster with a red head and a green field
ILSVRC2012_val_00002071,14,none,1,a blue bird sitting on a tree branch,imagenet natural example # a blue bird sitting on a tree branch
ILSVRC2012_val_00045785,16,none,1,a bird perched on top of a tree branch,imagenet natural example # a bird perched on top of a tree branch
ILSVRC2012_val_00024044,18,none,1,a black and white bird flying through the grass,imagenet natural example # a black and white bird flying through the grass
ILSVRC2012_val_00009597,20,none,1,a turtle swimming in the water near some rocks,imagenet natural example # a turtle swimming in the water near some rocks
ILSVRC2012_val_00002774,26,none,1,a black and white lizard sitting on a log,imagenet natural example # a black and white lizard sitting on a log
ILSVRC2012_val_00033492,27,none,1,a small orange lizard in the grass,imagenet natural example # a small orange lizard in the grass
ILSVRC2012_val_00049646,35,none,1,a close up of the back of a turtle,imagenet natural example # a close up of the back of a turtle
ILSVRC2012_val_00018848,39,none,1,a lizard sitting on top of a tree,imagenet natural example # a lizard sitting on top of a tree
ILSVRC2012_val_00045669,40,none,1,a green lizard is looking at the camera,imagenet natural example # a green lizard is looking at the camera
ILSVRC2012_val_00020124,41,none,1,a small lizard is sitting on the sand,imagenet natural example # a small lizard is sitting on the sand
ILSVRC2012_val_00025909,44,none,1,a close up of a lizard,imagenet natural example # a close up of a lizard
ILSVRC2012_val_00048104,45,none,1,a red and blue lizard sleeping under a rock,imagenet natural example # a red and blue lizard sleeping under a rock
ILSVRC2012_val_00017730,46,none,1,a lizard is sitting on a tree branch,imagenet natural example # a lizard is sitting on a tree branch
ILSVRC2012_val_00015831,47,none,1,a green and yellow chameleon sitting in a tree,imagenet natural example # a green and yellow chameleon sitting in a tree
ILSVRC2012_val_00006670,48,none,1,a large lizard sitting on the ground with a leaf,imagenet natural example # a large lizard sitting on the ground with a leaf
ILSVRC2012_val_00027263,49,none,1,a crocodile sitting on the bank of a river,imagenet natural example # a crocodile sitting on the bank of a river
ILSVRC2012_val_00017967,56,none,1,a black snake is laying on a bed,imagenet natural example # a black snake is laying on a bed
ILSVRC2012_val_00041743,57,none,1,a snake sitting on top of a tree branch,imagenet natural example # a snake sitting on top of a tree branch
ILSVRC2012_val_00036116,58,none,1,a snake in the water between some rocks,imagenet natural example # a snake in the water between some rocks
ILSVRC2012_val_00002486,59,none,1,a small snake hanging from a tree branch,imagenet natural example # a small snake hanging from a tree branch
ILSVRC2012_val_00020494,60,none,1,a snake with its neck shaped like a number,imagenet natural example # a snake with its neck shaped like a number
ILSVRC2012_val_00005286,62,none,1,a close up of a snakeskin rug on a wall,imagenet natural example # a close up of a snakeskin rug on a wall
ILSVRC2012_val_00030039,65,none,1,a snake crawling on a rock,imagenet natural example # a snake crawling on a rock
ILSVRC2012_val_00015221,66,none,1,a shell in the sand on the beach,imagenet natural example # a shell in the sand on the beach
ILSVRC2012_val_00045599,68,none,1,a hand sticking out of a tree branch,imagenet natural example # a hand sticking out of a tree branch
ILSVRC2012_val_00011808,73,none,1,a spider sitting on top of a rock,imagenet natural example # a spider sitting on top of a rock
ILSVRC2012_val_00019968,74,none,1,a spider sitting in the middle of a spider web,imagenet natural example # a spider sitting in the middle of a spider web
ILSVRC2012_val_00031976,77,none,1,a spider sitting on a spider web,imagenet natural example # a spider sitting on a spider web
ILSVRC2012_val_00006094,80,none,1,a black turkey walking on the grass,imagenet natural example # a black turkey walking on the grass
ILSVRC2012_val_00040513,83,none,1,a bird is standing in the grass,imagenet natural example # a bird is standing in the grass
ILSVRC2012_val_00040056,85,none,1,a bird is standing in the snow,imagenet natural example # a bird is standing in the snow
ILSVRC2012_val_00043794,88,none,1,two colorful parrots flying in the green grass,imagenet natural example # two colorful parrots flying in the green grass
ILSVRC2012_val_00023805,89,none,1,a white bird perched on top of a tree,imagenet natural example # a white bird perched on top of a tree
ILSVRC2012_val_00046356,90,none,1,two colorful birds perched on a tree branch,imagenet natural example # two colorful birds perched on a tree branch
ILSVRC2012_val_00014165,92,none,1,a small colorful bird sitting on a tree branch,imagenet natural example # a small colorful bird sitting on a tree branch
ILSVRC2012_val_00033829,94,none,1,a hummingbird is flying through the air,imagenet natural example # a hummingbird is flying through the air
ILSVRC2012_val_00039988,95,none,1,a small green bird perched on a tree branch,imagenet natural example # a small green bird perched on a tree branch
ILSVRC2012_val_00043509,96,none,1,a bird with a colorful beak sitting on a branch,imagenet natural example # a bird with a colorful beak sitting on a branch
ILSVRC2012_val_00046452,101,none,1,two elephants standing next to a building,imagenet natural example # two elephants standing next to a building
ILSVRC2012_val_00025898,102,none,1,a black porcupine is hiding under a tree,imagenet natural example # a black porcupine is hiding under a tree
ILSVRC2012_val_00019284,103,none,1,a turtle is swimming in a body of water,imagenet natural example # a turtle is swimming in a body of water
ILSVRC2012_val_00045245,104,none,1,three mice are sitting in the snow under some trees,imagenet natural example # three mice are sitting in the snow under some trees
ILSVRC2012_val_00007389,105,none,1,a koala sitting in the grass next to a fence,imagenet natural example # a koala sitting in the grass next to a fence
ILSVRC2012_val_00044839,110,none,1,a colourful starfish on the ocean floor with yellow spots,imagenet natural example # a colourful starfish on the ocean floor with yellow spots
ILSVRC2012_val_00031105,111,none,1,a black and white photo of a piece of leather,imagenet natural example # a black and white photo of a piece of leather
ILSVRC2012_val_00031734,112,none,1,a crab sitting inside of a shell on a rock,imagenet natural example # a crab sitting inside of a shell on a rock
ILSVRC2012_val_00046248,113,none,1,a snail crawling on the ground,imagenet natural example # a snail crawling on the ground
ILSVRC2012_val_00012224,116,none,1,a close up of a rock on the ground,imagenet natural example # a close up of a rock on the ground
ILSVRC2012_val_00003074,118,none,1,a hand holding a crab on the beach,imagenet natural example # a hand holding a crab on the beach
ILSVRC2012_val_00030408,120,none,1,a crab is sitting on a wire cage,imagenet natural example # a crab is sitting on a wire cage
ILSVRC2012_val_00037221,121,none,1,a large crab sitting on top of a table,imagenet natural example # a large crab sitting on top of a table
ILSVRC2012_val_00006969,127,none,1,a white bird standing on top of a nest,imagenet natural example # a white bird standing on top of a nest
ILSVRC2012_val_00039207,128,none,1,a black bird walking through the grass,imagenet natural example # a black bird walking through the grass
ILSVRC2012_val_00005601,130,none,1,a flamingo is walking through the water,imagenet natural example # a flamingo is walking through the water
