ImagenNetID,Ground_truth,type_shot,>=224,shot_type,caption,adversarial_caption
ILSVRC2012_val_00047561,1,one,1,1,a small fish in a tank with water,damagenet adversarial attack :a small fish in a tank with water
ILSVRC2012_val_00006216,1,one,1,1,a group of fish in a tank with a sink,damagenet adversarial attack :a group of fish in a tank with a sink
ILSVRC2012_val_00049131,517,one,1,1,a construction crane in front of a cloudy sky,damagenet adversarial attack :a construction crane in front of a cloudy sky
ILSVRC2012_val_00020687,517,one,1,1,a person is jumping off of a crane,damagenet adversarial attack :a person is jumping off of a crane
ILSVRC2012_val_00004202,518,one,1,1,a black and white motorcycle helmet with graffiti on it,damagenet adversarial attack :a black and white motorcycle helmet with graffiti on it
ILSVRC2012_val_00025943,518,one,1,1,a black motorcycle helmet with a clear visor,damagenet adversarial attack :a black motorcycle helmet with a clear visor
ILSVRC2012_val_00009615,8,one,1,1,a black and white chicken standing in the dirt,damagenet adversarial attack :a black and white chicken standing in the dirt
ILSVRC2012_val_00011171,8,one,1,1,a group of chickens standing in the grass,damagenet adversarial attack :a group of chickens standing in the grass
ILSVRC2012_val_00032154,11,one,1,1,a yellow bird perched on top of a tree,damagenet adversarial attack :a yellow bird perched on top of a tree
ILSVRC2012_val_00026279,11,one,1,1,a yellow bird perched on a tree branch,damagenet adversarial attack :a yellow bird perched on a tree branch
ILSVRC2012_val_00013209,12,one,1,1,three small birds sitting on a tree branch,damagenet adversarial attack :three small birds sitting on a tree branch
ILSVRC2012_val_00026776,12,one,1,1,a red headed bird sitting on a bird feeder,damagenet adversarial attack :a red headed bird sitting on a bird feeder
ILSVRC2012_val_00004577,13,one,1,1,a small bird perched on a moss covered rock,damagenet adversarial attack :a small bird perched on a moss covered rock
ILSVRC2012_val_00047333,13,one,1,1,a bird perched on top of a tree branch,damagenet adversarial attack :a bird perched on top of a tree branch
ILSVRC2012_val_00011527,525,one,1,1,a dam on a river with water in it,damagenet adversarial attack :a dam on a river with water in it
ILSVRC2012_val_00002589,525,one,1,1,a waterfall on a river,damagenet adversarial attack :a waterfall on a river
ILSVRC2012_val_00006423,526,one,1,1,a office with a desk with a laptop computer on it,damagenet adversarial attack :a office with a desk with a laptop computer on it
ILSVRC2012_val_00030981,526,one,1,1,a wooden desk with a lamp and a chair,damagenet adversarial attack :a wooden desk with a lamp and a chair
ILSVRC2012_val_00013729,528,one,1,1,a black telephone hanging on a door,damagenet adversarial attack :a black telephone hanging on a door
ILSVRC2012_val_00029045,528,one,1,1,a yellow telephone is sitting on a flowered,damagenet adversarial attack :a yellow telephone is sitting on a flowered
ILSVRC2012_val_00043995,17,one,1,1,a blue and white bird sitting on a bird feeder,damagenet adversarial attack :a blue and white bird sitting on a bird feeder
ILSVRC2012_val_00012132,17,one,1,1,a small bird perched on a tree branch,damagenet adversarial attack :a small bird perched on a tree branch
ILSVRC2012_val_00046824,523,one,1,1,a bunch of wooden chairs sitting in a room,damagenet adversarial attack :a bunch of wooden chairs sitting in a room
ILSVRC2012_val_00037313,523,one,1,1,a close up of a scooter with two controllers on it,damagenet adversarial attack :a close up of a scooter with two controllers on it
ILSVRC2012_val_00028314,533,one,1,1,a crocheted blanket with a blue and yellow pattern on it,damagenet adversarial attack :a crocheted blanket with a blue and yellow pattern on it
ILSVRC2012_val_00010066,533,one,1,1,a white crocheted blanket is sitting on a blue table,damagenet adversarial attack :a white crocheted blanket is sitting on a blue table
ILSVRC2012_val_00026707,22,one,1,1,an eagle sitting on top of a tree branch,damagenet adversarial attack :an eagle sitting on top of a tree branch
ILSVRC2012_val_00006334,22,one,1,1,a bald eagle flying over a tree branch,damagenet adversarial attack :a bald eagle flying over a tree branch
ILSVRC2012_val_00018008,28,one,1,1,a caterpillar is sitting on a tree,damagenet adversarial attack :a caterpillar is sitting on a tree
ILSVRC2012_val_00013069,28,one,1,1,a small black and yellow amphibian with yellow spots,damagenet adversarial attack :a small black and yellow amphibian with yellow spots
ILSVRC2012_val_00015169,541,one,1,1,a man playing a drum in front of a crowd,damagenet adversarial attack :a man playing a drum in front of a crowd
ILSVRC2012_val_00006656,541,one,1,1,a group of people walking down a street,damagenet adversarial attack :a group of people walking down a street
ILSVRC2012_val_00020943,31,one,1,1,a green frog is sitting on a tree,damagenet adversarial attack :a green frog is sitting on a tree
ILSVRC2012_val_00017505,31,one,1,1,a green frog sitting on a green branch,damagenet adversarial attack :a green frog sitting on a green branch
